


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    339.005   -155.682   .2851   20.000     -183.192   .2678   20.000     -179.425   .2702   20.000
    339.008   -155.683   .2851   20.000     -183.213   .2678   20.000     -179.426   .2702   20.000
    339.012   -155.685   .2851   20.000     -183.272   .2678   20.000     -179.428   .2702   20.000
    339.018   -155.687   .2851   20.000     -183.407   .2677   20.000     -179.430   .2702   20.000
    339.026   -155.690   .2851   20.000     -183.660   .2675   20.000     -179.434   .2702   20.000
    339.035   -155.694   .2851   20.000     -184.074   .2673   20.000     -179.439   .2702   20.000
    339.048   -155.699   .2851   20.000     -184.682   .2669   20.000     -179.450   .2702   20.000
    339.060   -155.704   .2851   20.000     -185.317   .2665   20.000     -179.466   .2701   20.000
    339.077   -155.711   .2851   20.000     -186.138   .2660   20.000     -179.497   .2701   20.000
    339.093   -155.718   .2850   20.000     -186.931   .2655   20.000     -179.540   .2701   20.000
    339.114   -155.726   .2850   20.000     -187.888   .2649   20.000     -179.615   .2700   20.000
    339.136   -155.735   .2850   20.000     -188.782   .2643   20.000     -179.706   .2700   20.000
    339.163   -155.746   .2850   20.000     -189.841   .2636   20.000     -179.845   .2699   20.000
    339.191   -155.758   .2850   20.000     -190.803   .2630   20.000     -180.000   .2698   20.000
    339.219   -155.769   .2850   20.000     -191.667   .2625   20.000     -180.165   .2697   20.000
    339.255   -155.783   .2850   20.000     -192.664   .2620   20.000     -180.384   .2696   20.000
    339.290   -155.798   .2850   20.000     -193.546   .2616   20.000     -180.607   .2694   20.000
    339.337   -155.817   .2850   20.000     -194.537   .2611   20.000     -180.895   .2692   20.000
    339.383   -155.835   .2850   20.000     -195.408   .2607   20.000     -181.179   .2691   20.000
    339.430   -155.854   .2850   20.000     -196.175   .2604   20.000     -181.453   .2689   20.000
    339.489   -155.878   .2849   20.000     -197.026   .2600   20.000     -181.785   .2687   20.000
    339.549   -155.902   .2849   20.000     -197.776   .2597   20.000     -182.102   .2685   20.000
    339.608   -155.926   .2849   20.000     -198.444   .2593   20.000     -182.402   .2683   20.000
    339.689   -155.959   .2849   20.000     -199.230   .2590   20.000     -182.783   .2681   20.000
    339.770   -155.992   .2849   20.000     -199.921   .2587   20.000     -183.139   .2678   20.000
    339.851   -156.025   .2849   20.000     -200.537   .2584   20.000     -183.473   .2676   20.000
