Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
  519     0         -92             0   1       0        1        1        1          20            0 
  520     0         -92             0   1       0        1        1        1          20            0 
  521     0         -92             0   1       0        1        1        1          20            0 
  522     0         -92             0   1       0        1        1        1          20            0 
  523     0         -92             0   1       0        1        1        1          20            0 
  524     0         -92             0   1       0        1        1        1          20            0 
  525     0         -92             0   1       0        1        1        1          20            0 
  526     0         -92             0   1       0        1        1        1          20            0 
  527     0         -92             0   1       0        1        1        1          20            0 
  528     0         -97             0   1       0        1        1        1          20            0 
  529     0         -97             0   1       0        1        1        1          20            0 
  530     0         -97             0   1       0        1        1        1          20            0 
  531     0         -97             0   1       0        1        1        1          20            0 
  532     0         -97             0   1       0        1        1        1          20            0 
  533     0         -97             0   1       0        1        1        1          20            0 
  534     0         -97             0   1       0        1        1        1          20            0 
  535     0         -97             0   1       0        1        1        1          20            0 
  536     0         -97             0   1       0        1        1        1          20            0 
  537     0         -97             0   1       0        1        1        1          20            0 
  538     0         -97             0   1       0        1        1        1          20            0 
  539     0         -97             0   1       0        1        1        1          20            0 
  540     0         -97             0   1       0        1        1        1          20            0 
  541     0         -97             0   1       0        1        1        1          20            0 
  542     0         -97             0   1       0        1        1        1          20            0 
  543     0         -97             0   1       0        1        1        1          20            0 
