


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    675.000    -99.541   .2429   20.000      -62.287   .2831   20.000      -29.442   .3480   20.000
    700.000    -99.405   .2430   20.000      -59.832   .2864   20.000      -28.813   .3498   20.000
    725.000    -99.240   .2431   20.000      -57.544   .2902   20.000      -28.209   .3515   20.000
    750.000    -99.042   .2433   20.000      -55.442   .2937   20.000      -27.621   .3532   20.000
    800.000    -98.445   .2437   20.000      -51.620   .3002   20.000      -26.576   .3561   20.000
    833.333    -97.941   .2441   20.000      -49.218   .3042   20.000      -25.898   .3580   20.000
    866.667    -97.299   .2446   20.000      -46.944   .3082   20.000      -25.256   .3598   20.000
    900.000    -96.505   .2451   20.000      -44.859   .3126   20.000      -24.637   .3615   20.000
    933.333    -95.549   .2459   20.000      -42.934   .3166   20.000      -24.038   .3632   20.000
    966.667    -94.437   .2469   20.000      -41.111   .3204   20.000      -23.457   .3649   20.000
   1000.000    -93.155   .2482   20.000      -39.352   .3240   20.000      -22.893   .3667   20.000
   1050.000    -90.829   .2505   20.000      -36.848   .3296   20.000      -22.095   .3691   20.000
   1100.000    -88.081   .2532   20.000      -34.566   .3352   20.000      -21.331   .3714   20.000
   1150.000    -84.968   .2563   20.000      -32.439   .3405   20.000      -20.580   .3738   20.000
   1200.000    -81.569   .2597   20.000      -30.435   .3454   20.000      -19.834   .3760   20.000
   1250.000    -77.960   .2633   20.000      -28.542   .3505   20.000      -19.086   .3783   20.000
   1300.000    -74.255   .2674   20.000      -26.805   .3554   20.000      -18.337   .3807   20.000
   1350.000    -70.740   .2720   20.000      -25.199   .3600   20.000      -17.602   .3830   20.000
   1400.000    -67.405   .2764   20.000      -23.676   .3642   20.000      -16.874   .3854   20.000
   1450.000    -64.208   .2806   20.000      -22.256   .3686   20.000      -16.152   .3877   20.000
   1500.000    -61.143   .2845   20.000      -20.956   .3726   20.000      -15.431   .3901   20.000
   1562.500    -57.659   .2900   20.000      -19.464   .3772   20.000      -14.554   .3928   20.000
   1625.000    -54.560   .2953   20.000      -18.082   .3815   20.000      -13.724   .3955   20.000
   1687.500    -51.754   .2999   20.000      -16.840   .3855   20.000      -12.928   .3981   20.000
   1750.000    -49.243   .3041   20.000      -15.704   .3891   20.000      -12.164   .4006   20.000
   1833.333    -46.253   .3098   20.000      -14.363   .3934   20.000      -11.241   .4035   20.000
   1916.667    -43.647   .3151   20.000      -13.201   .3972   20.000      -10.410   .4062   20.000
   2000.000    -41.481   .3196   20.000      -12.180   .4005   20.000       -9.658   .4085   20.000
   2125.000    -38.876   .3250   20.000      -10.963   .4043   20.000       -8.741   .4112   20.000
   2250.000    -36.738   .3298   20.000      -10.021   .4073   20.000       -8.014   .4134   20.000
   2375.000    -35.100   .3340   20.000       -9.295   .4096   20.000       -7.445   .4151   20.000
   2500.000    -33.809   .3371   20.000       -8.742   .4112   20.000       -7.005   .4163   20.000
   2600.000    -32.950   .3392   20.000       -8.392   .4122   20.000       -6.725   .4171   20.000
   2700.000    -32.255   .3409   20.000       -8.116   .4131   20.000       -6.503   .4177   20.000
   2800.000    -31.682   .3423   20.000       -7.900   .4137   20.000       -6.329   .4182   20.000
   2900.000    -31.207   .3435   20.000       -7.734   .4142   20.000       -6.194   .4185   20.000
   3000.000    -30.807   .3445   20.000       -7.604   .4146   20.000       -6.090   .4188   20.000
   3111.111    -30.441   .3454   20.000       -7.494   .4149   20.000       -6.002   .4191   20.000
   3222.222    -30.131   .3461   20.000       -7.412   .4152   20.000       -5.935   .4193   20.000
