 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:      2.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   26   63   25.5   52.1   -2   .000E+00   .000E+00      -19.9   .376     20.00  .205E-02
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -22.1   .369     20.00  .318E-02
   28   65   17.3   57.9   -4   .510E+01  -.100E+01      -22.3   .368     20.00  .390E-02
   29   66   13.1   60.8   -4   .519E+01  -.100E+01      -23.6   .364     20.00  .622E-02
   30   67    8.8   63.8   -4   .528E+01  -.100E+01      -25.1   .360     20.00  .819E-02
   31   68    4.4   66.9   -4   .538E+01  -.100E+01      -26.6   .356     20.00  .102E-01
   32   69     .0   70.0   -4   .521E+01  -.100E+01      -27.5   .354     20.00  .145E-01
   33   70   -5.0   70.0   -4   .500E+01  -.100E+01      -27.7   .353     20.00  .282E-01
   34   71  -10.0   70.0   -4   .500E+01  -.100E+01      -27.0   .355     20.00  .576E-01
   35   72  -15.0   70.0   -4   .500E+01  -.100E+01      -25.9   .358     20.00  .102E+00
   36   73  -20.0   70.0   -4   .512E+01  -.100E+01      -24.6   .362     20.00  .151E+00
   37   74  -24.0   66.5   -4   .520E+01  -.100E+01      -21.8   .370     20.00  .270E+00
   38   75  -27.8   63.2   -4   .510E+01  -.100E+01      -18.2   .381     20.00  .401E+00
   39   76  -31.6   59.8   -4   .500E+01  -.100E+01      -14.1   .394     20.00  .538E+00
   40   77  -35.3   56.6   -4   .490E+01  -.100E+01       -9.9   .408     20.00  .620E+00
   41   78  -39.0   53.4   -4   .480E+01  -.100E+01       -5.4   .421     20.00  .722E+00
   42   79  -42.6   50.3    1   .509E+02  -.108E+02        -.3   .430     20.00  .914E+00
   43   80  -46.1   47.2    1   .379E+02  -.824E+01        2.8   .430     20.00  .922E+00
   44   81  -49.5   44.2    1   .295E+02  -.656E+01        5.8   .430     20.00  .918E+00
   45   82  -52.8   41.3    1   .244E+02  -.556E+01        8.7   .430     20.00  .908E+00
   46   83  -56.1   38.4    1   .210E+02  -.490E+01       11.6   .430     20.00  .894E+00
   47   84  -59.3   35.6    1   .182E+02  -.435E+01       14.4   .430     20.00  .877E+00
   48   85  -62.4   32.9    1   .157E+02  -.385E+01       17.1   .430     20.00  .856E+00
   49   86  -65.4   30.2    1   .136E+02  -.342E+01       19.8   .430     20.00  .833E+00
   50   87  -68.4   27.7    1   .118E+02  -.303E+01       22.3   .430     20.00  .807E+00
   51   88  -71.3   25.1    1   .102E+02  -.269E+01       24.9   .430     20.00  .779E+00
   52   89  -74.1   22.7    1   .873E+01  -.237E+01       27.3   .430     20.00  .747E+00
