 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  18. 2.    Time:  11:49:50
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     25.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .771E-01
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .633E-01
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .586E-01
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .676E-04
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .723E-04
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .808E-04
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .101E-03
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .132E-03
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .177E-03
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .246E-03
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .332E-03
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .423E-03
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .527E-03
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .611E-03
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .628E-03
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .588E-03
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .451E-03
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .281E-03
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00  .134E-03


 Time:    600.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .336E-04
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .438E-05
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00  .143E-03
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .991E-03
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .370E-02
