


                       Node( 23)                     Node( 28)                     Node(193)                     Node(988)                     Node(669)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
      3.199    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.248    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.297    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.345    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.394    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.443    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.491    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.540    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.594    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.648    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.702    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.756    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.810    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.864    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.924    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      3.984    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.044    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.104    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.168    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.232    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.301    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.379    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.457    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.534    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.612    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.690    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.767    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.845    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      4.922    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.000    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.078    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.156    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.234    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.313    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.391    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.469    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.547    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.633    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.718    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.804    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.889    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      5.975    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.061    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.154    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.248    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.342    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.447    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.551    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.656    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.771    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      6.886    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.002    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.117    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.232    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.348    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.474    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.600    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.726    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.853    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      7.979    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      8.105    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
