 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .4682   -.367E+01   .5642E+00   .1550E-03   .8199E+01   .9138E+00     .9989
   .4681   -.424E+01   .6279E+00   .1640E-03   .7944E+01   .9000E+00     .9986
   .4680   -.491E+01   .6915E+00   .1736E-03   .7677E+01   .8852E+00     .9983
   .4678   -.569E+01   .7552E+00   .1836E-03   .7400E+01   .8692E+00     .9979
   .4677   -.659E+01   .8188E+00   .1941E-03   .7112E+01   .8520E+00     .9975
   .4675   -.763E+01   .8825E+00   .2052E-03   .6814E+01   .8334E+00     .9969
   .4672   -.883E+01   .9461E+00   .2167E-03   .6506E+01   .8133E+00     .9962
   .4669   -.102E+02   .1010E+01   .2288E-03   .6188E+01   .7915E+00     .9953
   .4665   -.118E+02   .1073E+01   .2413E-03   .5860E+01   .7679E+00     .9943
   .4661   -.137E+02   .1137E+01   .2542E-03   .5525E+01   .7423E+00     .9930
   .4655   -.159E+02   .1201E+01   .2674E-03   .5182E+01   .7145E+00     .9914
   .4648   -.184E+02   .1264E+01   .2809E-03   .4833E+01   .6842E+00     .9895
   .4640   -.213E+02   .1328E+01   .2946E-03   .4479E+01   .6512E+00     .9872
   .4630   -.246E+02   .1392E+01   .3082E-03   .4122E+01   .6152E+00     .9845
   .4617   -.285E+02   .1455E+01   .3215E-03   .3765E+01   .5758E+00     .9811
   .4603   -.330E+02   .1519E+01   .3343E-03   .3410E+01   .5328E+00     .9770
   .4585   -.382E+02   .1583E+01   .3463E-03   .3060E+01   .4857E+00     .9721
   .4564   -.443E+02   .1646E+01   .3571E-03   .2718E+01   .4342E+00     .9662
   .4538   -.513E+02   .1710E+01   .3662E-03   .2386E+01   .3778E+00     .9593
   .4508   -.594E+02   .1774E+01   .3731E-03   .2070E+01   .3160E+00     .9510
   .4473   -.687E+02   .1837E+01   .3774E-03   .1772E+01   .2484E+00     .9413
   .4432   -.796E+02   .1901E+01   .3786E-03   .1494E+01   .1745E+00     .9300
   .4385   -.921E+02   .1964E+01   .3763E-03   .1241E+01   .9388E-01     .9169
   .4330   -.107E+03   .2028E+01   .3700E-03   .1014E+01   .6204E-02     .9019
   .4269   -.124E+03   .2092E+01   .3598E-03   .8149E+00  -.8889E-01     .8850
   .4200   -.143E+03   .2155E+01   .3456E-03   .6432E+00  -.1916E+00     .8660
   .4124   -.166E+03   .2219E+01   .3278E-03   .4988E+00  -.3021E+00     .8450
   .4041   -.192E+03   .2283E+01   .3068E-03   .3799E+00  -.4204E+00     .8222
   .3952   -.222E+03   .2346E+01   .2833E-03   .2843E+00  -.5462E+00     .7976
   .3857   -.257E+03   .2410E+01   .2581E-03   .2092E+00  -.6795E+00     .7714
   .3758   -.298E+03   .2474E+01   .2322E-03   .1515E+00  -.8197E+00     .7440
   .3655   -.345E+03   .2537E+01   .2063E-03   .1080E+00  -.9664E+00     .7157
