Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
  392     0     -33.776             0   1       0        1        1        1          20            0 
  393     0    -65.6965             0   1       0        1        1        1          20            0 
  394     0    -23.9274             0   1       0        1        1        1          20            0 
  395     0    -37.9004             0   1       0        1        1        1          20            0 
  396     0    -42.1471             0   1       0        1        1        1          20            0 
  397     0     -30.591             0   1       0        1        1        1          20            0 
  398     0    -22.7914             0   1       0        1        1        1          20            0 
  399     0    -16.3968             0   1       0        1        1        1          20            0 
  400     0    -4.69439             0   2       0        1        1        1          20            0 
  401     0     -4.3455             0   2       0        1        1        1          20            0 
  402     0     11.0725             0   2       0        1        1        1          20            0 
  403     0     5.76991             0   2       0        1        1        1          20            0 
  404     0    -34.4829             0   1       0        1        1        1          20            0 
  405     0     -64.688             0   1       0        1        1        1          20            0 
  406     0    -61.7551             0   1       0        1        1        1          20            0 
  407     0    -20.4922             0   1       0        1        1        1          20            0 
  408     0    -69.1003             0   1       0        1        1        1          20            0 
  409     0    -27.5623             0   1       0        1        1        1          20            0 
  410     0     4.26494             0   2       0        1        1        1          20            0 
  411     0    -51.6834             0   1       0        1        1        1          20            0 
  412     0    -66.8457             0   1       0        1        1        1          20            0 
  413     0    -41.4428             0   1       0        1        1        1          20            0 
  414     0    -6.44161             0   2       0        1        1        1          20            0 
  415     0    -56.8669             0   1       0        1        1        1          20            0 
  416     0    -73.9013             0   1       0        1        1        1          20            0 
  417     0    -46.4517             0   1       0        1        1        1          20            0 
  418     0    -39.2513             0   1       0        1        1        1          20            0 
  419     0    -61.8546             0   1       0        1        1        1          20            0 
  420     0    -76.6848             0   1       0        1        1        1          20            0 
  421     0    -58.6116             0   1       0        1        1        1          20            0 
  422     0    -51.3337             0   1       0        1        1        1          20            0 
  423     0    -64.2696             0   1       0        1        1        1          20            0 
  424     0    -76.2894             0   1       0        1        1        1          20            0 
  425     0    -71.3765             0   1       0        1        1        1          20            0 
  426     0    -53.4714             0   1       0        1        1        1          20            0 
  427     0    -66.8203             0   1       0        1        1        1          20            0 
